symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-07-13 00:00:00+00:00,1512.23,1576.36,1506.56,1549.94,2147729,1512.23,1576.36,1506.56,1549.94,2147729,0.0,1.0
GOOGL,2020-07-14 00:00:00+00:00,1520.86,1522.8,1485.93,1492.79,1905405,1520.86,1522.8,1485.93,1492.79,1905405,0.0,1.0
GOOGL,2020-07-15 00:00:00+00:00,1516.88,1536.33,1497.83,1523.23,1551326,1516.88,1536.33,1497.83,1523.23,1551326,0.0,1.0
GOOGL,2020-07-16 00:00:00+00:00,1514.92,1515.91,1488.27,1501.5,1324228,1514.92,1515.91,1488.27,1501.5,1324228,0.0,1.0
GOOGL,2020-07-17 00:00:00+00:00,1516.85,1523.43,1498.1,1516.91,1713251,1516.85,1523.43,1498.1,1516.91,1713251,0.0,1.0
GOOGL,2020-07-20 00:00:00+00:00,1563.84,1569.01,1502.7,1515.0,1490634,1563.84,1569.01,1502.7,1515.0,1490634,0.0,1.0
GOOGL,2020-07-21 00:00:00+00:00,1555.92,1587.05,1552.62,1585.03,1328089,1555.92,1587.05,1552.62,1585.03,1328089,0.0,1.0
GOOGL,2020-07-22 00:00:00+00:00,1564.85,1566.98,1543.23,1555.71,1224100,1564.85,1566.98,1543.23,1555.71,1224100,0.0,1.0
GOOGL,2020-07-23 00:00:00+00:00,1516.75,1570.35,1508.59,1565.93,1695498,1516.75,1570.35,1508.59,1565.93,1695498,0.0,1.0
GOOGL,2020-07-24 00:00:00+00:00,1508.21,1515.4273,1487.59,1499.19,1495381,1508.21,1515.4273,1487.59,1499.19,1495381,0.0,1.0
GOOGL,2020-07-27 00:00:00+00:00,1529.43,1537.56,1512.33,1513.26,1356185,1529.43,1537.56,1512.33,1513.26,1356185,0.0,1.0
GOOGL,2020-07-28 00:00:00+00:00,1503.65,1526.01,1500.52,1525.0,1545534,1503.65,1526.01,1500.52,1525.0,1545534,0.0,1.0
GOOGL,2020-07-29 00:00:00+00:00,1523.51,1533.33,1503.01,1505.0,1133773,1523.51,1533.33,1503.01,1505.0,1133773,0.0,1.0
GOOGL,2020-07-30 00:00:00+00:00,1538.37,1540.89,1495.17,1497.97,1802121,1538.37,1540.89,1495.17,1497.97,1802121,0.0,1.0
GOOGL,2020-07-31 00:00:00+00:00,1487.95,1505.02,1454.0,1497.05,4576382,1487.95,1505.02,1454.0,1497.05,4576382,0.0,1.0
GOOGL,2020-08-03 00:00:00+00:00,1482.76,1497.73,1471.72,1491.0,2276085,1482.76,1497.73,1471.72,1491.0,2276085,0.0,1.0
GOOGL,2020-08-04 00:00:00+00:00,1473.3,1493.11,1464.03,1486.71,1860609,1473.3,1493.11,1464.03,1486.71,1860609,0.0,1.0
GOOGL,2020-08-05 00:00:00+00:00,1479.09,1490.0,1471.215,1476.82,1457518,1479.09,1490.0,1471.215,1476.82,1457518,0.0,1.0
GOOGL,2020-08-06 00:00:00+00:00,1504.95,1506.27,1471.9,1476.15,1665261,1504.95,1506.27,1471.9,1476.15,1665261,0.0,1.0
GOOGL,2020-08-07 00:00:00+00:00,1498.37,1520.09,1486.27,1509.04,1386294,1498.37,1520.09,1486.27,1509.04,1386294,0.0,1.0
GOOGL,2020-08-10 00:00:00+00:00,1496.82,1507.15,1477.4901,1490.8,1027329,1496.82,1507.15,1477.4901,1490.8,1027329,0.0,1.0
GOOGL,2020-08-11 00:00:00+00:00,1480.54,1510.44,1478.19,1494.0,1554853,1480.54,1510.44,1478.19,1494.0,1554853,0.0,1.0
